billNumber,billType,title,status
3,House Joint Resolution,Joint resolution on Bowman's Corner,Failed
36,House Joint Resolution,Resolution in support of instruction in reading and writing in cursive,Failed
44,House Joint Resolution,Interim study of endocrine-disrupting chemicals and water quality,Passed
97,House Bill,Allow for platooning vehicles,Passed
172,House Bill,Revise laws for prioritization of highway projects,Failed
445,House Bill,Revise laws to promote the teaching of cursive writing in schools,Failed
597,House Bill,Prohibit inactive electors from signing petitions,Failed
598,House Bill,Require ballot issue signers to be active registered voters,Failed
768,House Bill,Revise civil liability laws relating to equine activities and waivers,Passed
