billNumber,billType,title,status
116,House Bill,Provide for attorneys to appear remotely,Failed
161,House Bill,Establish a vending machine account in the special revenue fund,Passed
426,House Bill,Clarifying laws related to real estate appraisers,Passed
442,House Bill,Revise laws regarding reporting requirements for certain professional occupations,Passed
