billNumber,billType,title,status
40,House Joint Resolution,Interim study on transferring fiscal note production from executive branch to legislative branch,Passed
263,House Bill,Generally revise digital asset mining and data center ratemaking laws,Failed
397,House Bill,Revise laws related to privacy in mental health digital service,Passed
907,House Bill,Generally revise fish and game laws,Failed
945,House Bill,Create the early childhood education and child care infrastructure grant program,Failed
