billNumber,billType,title,status
65,Senate Bill,Revise change-of-name laws,Passed
360,Senate Bill,Revise election laws related to definitions,Passed
380,Senate Bill,Generally revise laws related to motor vehicle laws,Passed
558,Senate Bill,Provide a general statewide sales tax to replace school property taxes,Failed
