billNumber,billType,title,status
216,House Bill,Allow FW Commission to issue deer and elk hunting licenses to private landowners within the Flathead Indian Reservation,Failed
366,House Bill,Provide appropriation to DOJ for Lake County reimbursement related to PL 280,Failed
469,House Bill,Revise the exemption for out-of-state driver's licenses,Failed
643,House Bill,Revise reimbursement costs to detention centers holding inmates in state custody,Failed
644,House Bill,Allow a county to employ a property appraiser for property tax purposes,Failed
