billNumber,billType,title,status
17,House Bill,Revise terms for forest lands taxation advisory committee,Passed
18,House Bill,Deposit non-levy revenue in school equalization and property tax relief account,Passed
91,House Bill,Allow taxpayers to elect to receive electronic correspondence from the department of revenue,Passed
155,House Bill,Revise class four residential and commercial property taxes,Failed
405,House Bill,Increase on-schedule reimbursement rates for school transportation,Failed
451,House Bill,Revise tax increment financing districts to exclude debt service and certain school levies,Failed
640,House Bill,Revising membership in FURS to include airport authority public safety employees,Failed
878,House Bill,Authorize additional funding for coal trust loan program for housing,Failed
