billNumber,billType,title,status
79,House Bill,Exempt small projects from fire hazard reduction agreements,Passed
133,House Bill,Require hunter reporting of hunting activity,Failed
134,House Bill,Revise FWP crimestoppers program to allow financial rewards and reward permits,Failed
