billNumber,billType,title,status
16,Senate Joint Resolution,Joint resolution on automated vehicles,Passed
17,Senate Resolution,Confirm governor's appointees for the board of outfitters,Passed
51,Senate Resolution,Confirm governor's appointees for state parks and recreation board,Passed
67,Senate Bill,Provide for the use of autonomous vehicles,Passed
83,Senate Bill,Revise law to recognize commission authority to regulate public use of private property under access agreements,Passed
84,Senate Resolution,"Confirm governor's appointee for director of the department of fish, wildlife, and parks",Passed
106,Senate Bill,Revising laws related to the use of manned and unmanned aircraft while hunting,Passed
111,Senate Bill,Revising laws related to green lights on snow removal equipment,Passed
148,Senate Bill,Allow landowners to designate licenses to persons with disabilities,Passed
149,Senate Bill,Revise emotional support animal laws,Passed
228,Senate Bill,Revise laws related to public charging stations for electric vehicles,Passed
270,Senate Bill,Revise laws related to antlerless elk licenses,Failed
288,Senate Bill,Expedite seized property after law investigation,Passed
289,Senate Bill,Provide county notification for certain property tax adjustments,Passed
300,Senate Bill,Providing protections for service dogs and handlers,Passed
441,Senate Bill,Establishing the Montana block management enforcement network,Passed
472,Senate Bill,Revise penalties for violations under 310 permit process,Failed
