billNumber,billType,title,status
28,Senate Joint Resolution,Interim study resolution on the legislature's ethics processes,Passed
40,Senate Joint Resolution,Interim study on legislative branch procurement and leadership expenditures,Failed
63,Senate Bill,Revise law related to the use of motion-tracking devices while hunting,Failed
64,Senate Bill,Clarifying calculation of legislator compensation and expenses during the interim,Passed
460,Senate Bill,Generally revise gravel pit laws,Failed
