billNumber,billType,title,status
59,House Bill,Revise board of water well contractors laws,Passed
206,House Bill,Revise electrical contractors presentation of license laws,Passed
505,House Bill,"Revise laws on Montana housing infrastructure revolving loan fund on deed restrictions, usage, and interest",Passed
639,House Bill,Generally revise gambling laws,Failed
704,House Bill,Generally revise ground water laws,Failed
844,House Bill,Revise the taxation of class eight business equipment,Failed
916,House Bill,Revise lodging tax allocation related to property tax relief,Failed
