billNumber,billType,title,status
384,House Bill,Change dates to apply for speech language assistant licensure,Passed
497,House Bill,Revise apprenticeship program laws relating to the state electrical board,Passed
824,House Bill,Provide for county number decals on personalized license plates,Failed
