billNumber,billType,title,status
48,House Bill,Exempt wastewater ponds from dam safety act,Passed
74,House Bill,Revising private fish pond and commercial take laws,Passed
162,House Bill,Revise definition of infrastructure for resort tax,Passed
163,House Bill,Provide for health care preceptor individual income tax credit,Failed
164,House Bill,Revise the uniform unclaimed property act,Passed
165,House Bill,Notaries not required for vehicle title transfer,Passed
256,House Bill,Creation of Montana water trust and special revenue accounts,Failed
281,House Bill,Provide statutory appropriation of reinsurance program assessments,Passed
355,House Bill,Clarifying that easement rights retained when canal or ditch converted to pipeline,Passed
434,House Bill,Revise banking laws relating to interactive teller machines,Passed
516,House Bill,Move workers' compensation court to judicial branch,Passed
656,House Bill,Revising the fund structure and use of employment security account,Passed
680,House Bill,Generally revise trade and commerce laws,Passed
775,House Bill,Repeal sunset on Water Court actions,Passed
846,House Bill,Revise property taxation for certain local government subdivisions,Passed
865,House Bill,Revise government entity limitations on property tax increases,Failed
886,House Bill,"Provide for water division court, judges",Failed
919,House Bill,Authorize transfers and other necessary measure to implement HB 2 section A,Failed
932,House Bill,Generally revise conservation financing laws,Passed
