billNumber,billType,title,status
26,House Joint Resolution,Study guardianships and conservatorships,Passed
261,House Bill,Providing for procedural rule making authority to the department of labor and industry,Passed
277,House Bill,Require a minimum lease term for mobile home lot rentals,Failed
764,House Bill,Revise public transit laws,Passed
765,House Bill,Reestablish the working interdisciplinary network of guardianship stakeholders,Failed
766,House Bill,Revise disqualification grounds of member or proposed member of medical legal panel,Failed
777,House Bill,Generally revise guardian and conservator laws,Failed
