billNumber,billType,title,status
21,Senate Joint Resolution,Interim study on interstate power grid development,Failed
22,Senate Bill,Revise class d motor carrier deadline adjustment laws,Passed
23,Senate Bill,Increase thresholds for railroad accident reporting requirements,Passed
24,Senate Bill,Increase penalties for blocked railroad crossings,Failed
51,Senate Bill,Revising telecommunications provider registration laws,Passed
58,Senate Resolution,Confirm governor's appointee for the pacific northwest electric power and conservation planning council,Passed
59,Senate Resolution,Confirm governor's appointee for the pacific northwest electric power and conservation planning council,Passed
95,Senate Resolution,Confirm governor's appointee for board of oil and gas conservation,Passed
96,Senate Resolution,Confirm governor's appointee for board of oil and gas conservation,Passed
97,Senate Resolution,Confirm governor's appointee for board of oil and gas conservation,Passed
98,Senate Resolution,Confirm governor's appointee for board of oil and gas conservation,Passed
100,Senate Resolution,Confirm governor's appointee for board of oil and gas conservation,Passed
117,Senate Bill,Revise government entity limitations on property tax increases,Passed
118,Senate Bill,Generally revise student data laws to enhance privacy,Failed
163,Senate Bill,"Generally revise privacy laws related to biometric, genetic, and neural data",Passed
212,Senate Bill,Creating the Right to Compute Act and requiring shutdowns of AI controlled critical infrastructure,Passed
213,Senate Bill,Revise the state building code to allow single stairwells in certain buildings,Passed
217,Senate Bill,Establish work time credit for probationers and parolees,Passed
265,Senate Bill,Revise cryptocurrency laws to create Financial Freedom and Innovation Act,Passed
297,Senate Bill,Generally revise privacy laws,Passed
301,Senate Bill,Generally revise utility lines and facilities laws,Passed
302,Senate Bill,Provide informal review of property tax disputes at MTAB,Passed
316,Senate Bill,Revising disability retirement provisions for MPORS and FURS,Passed
328,Senate Bill,Revise deadline for appeal of county tax appeal board decision,Passed
339,Senate Bill,Revise oil and gas production damage mitigation account,Passed
340,Senate Bill,Generally revise laws relating to challenges brought under MEPA,Failed
354,Senate Bill,Prohibit purchase of soft drinks and candy with SNAP benefits,Failed
363,Senate Bill,Revising the definition of a tourist home,Failed
408,Senate Bill,Provide that legislative bill drafting files are public records,Failed
409,Senate Bill,Generally revise laws related to the department of commerce,Passed
410,Senate Bill,Provide for Montana genomic security act,Failed
411,Senate Bill,Allow recordings to be treated as wills,Failed
432,Senate Bill,Generally revise utility laws,Failed
438,Senate Bill,Revise telehealth and telemedicine laws,Failed
470,Senate Bill,Generally revise election law,Failed
537,Senate Bill,Generally revise marijuana tax laws,Failed
553,Senate Bill,Generally revise state policy laws,Passed
561,Senate Bill,Revise public service commission membership,Failed
