billNumber,billType,title,status
63,House Joint Resolution,Request interim study on early literacy,Failed
262,House Bill,Establish state policy on evidence-based reading instruction,Failed
515,House Bill,Generally revise laws relating to school facilities consolidating two existing state special revenue accounts,Passed
