billNumber,billType,title,status
157,House Bill,Revise alcohol laws related to responsible server and sales training,Passed
204,House Bill,Revise gambling laws related gambling addiction,Failed
311,House Bill,Require the refund of rental application fees,Passed
484,House Bill,Revise minimum wage laws to provide increases,Failed
508,House Bill,Emphasize media literacy in legislative goals for education,Failed
