billNumber,billType,title,status
5,Senate Joint Resolution,Resolution for support of federal SAFER banking act,Failed
71,Senate Bill,Revise natural resource operations fee policy laws,Passed
74,Senate Bill,Generally revise marijuana laws,Passed
78,Senate Bill,Revise laws related to marking hides and meat,Passed
79,Senate Bill,Repeal laws related to inspection of animals in feedlots,Passed
80,Senate Bill,Allow for digital copies of required documentation for transport of livestock,Passed
81,Senate Bill,Revise lease of state lands for underground gas storage,Failed
321,Senate Bill,Provide tax credits for children and child care,Failed
322,Senate Bill,Increase business equipment tax exemption,Failed
323,Senate Bill,Revise individual income tax rates and earned income credit,Failed
324,Senate Bill,Revise vehicle registration fees and allocate revenue for bridges and victims of crime,Failed
450,Senate Bill,Provide friend of the court authorization for legislative officers,Failed
517,Senate Bill,Revise irrigation district commissioner election laws,Failed
529,Senate Bill,Revise campaign finance laws to limit certain tax-exempt organization contributions,Failed
562,Senate Bill,Require top two primary for certain offices,Failed
