billNumber,billType,title,status
15,Senate Joint Resolution,Resolution on Obergefell,Failed
114,Senate Bill,Provide for display of Ten Commandments in public schools,Failed
160,Senate Bill,Revise alternative energy project laws to require a bond prior to construction,Failed
283,Senate Bill,Generally revise laws relating to wind generation facilities,Failed
407,Senate Bill,"Revise education laws to prohibit certain flags and banners in school and require phrase ""In God we trust"" displayed in each classroom of a public school",Failed
473,Senate Bill,Prohibit weather modification.,Failed
491,Senate Bill,Generally revise laws related to sexual assault kits,Failed
505,Senate Bill,Generally revise zoning laws to prohibit the construction of wind generation facilities.,Failed
