billNumber,billType,title,status
50,House Joint Resolution,Interim study of uniform common interest ownership laws,Passed
64,House Joint Resolution,Study election and evaluation of judges,Failed
159,House Bill,Revise rural improvement district laws to include maintenance of existing public improvements,Passed
233,House Bill,Provide for transfer of title of open spaces in final plat to HOA,Passed
374,House Bill,Revise gambling laws,Failed
619,House Bill,Establish the uniform common interest ownership act,Failed
634,House Bill,Repeal motion picture fair trade practices act,Failed
716,House Bill,Generally revise qualifications for county water and sewer board of directors,Passed
