billNumber,billType,title,status
8,House Joint Resolution,Study resolution on EV taxation and fees,Failed
26,House Bill,Repeal mercury thermostat collection act,Passed
42,House Joint Resolution,"Interim study on procurement, no-bid contracts, and transparency on no-bid purchases",Passed
62,House Joint Resolution,Study resolution on wildfire safety,Passed
654,House Bill,Increase access to early literacy targeted intervention programs,Failed
820,House Bill,Require free on-campus parking permits for veterans and Montana national guard service members,Failed
