billNumber,billType,title,status
212,House Bill,Limit liability of agricultural vehicles,Failed
213,House Bill,Revise residential and commercial property tax rate,Failed
329,House Bill,Make the Montana ammunition act permanent,Passed
528,House Bill,"Revise property tax rates for agricultural, residential, and commercial property",Failed
739,House Bill,Revise laws for agricultural vehicles on the highway,Passed
