billNumber,billType,title,status
39,House Joint Resolution,Joint resolution protecting public lands.,Failed
61,House Joint Resolution,Interim study on the property insurance market in Montana,Passed
580,House Bill,Clarify water right abandonment,Passed
762,House Bill,"Require the department of fish, wildlife, and parks to publish a report on river usage",Failed
763,House Bill,Generally revise laws related to the block management program.,Passed
776,House Bill,Generally revise residential landlord and tenant laws,Failed
849,House Bill,Provide for special motorcycle plates promoting motorcycle safety,Passed
