billNumber,billType,title,status
40,Senate Resolution,Confirm governor's appointees for transportation commission,Passed
81,Senate Resolution,Confirm governor's appointee for director of the department of transportation,Passed
103,Senate Bill,Revise fee for issuing an execution or order of sale on foreclosure of lien,Passed
138,Senate Bill,Revise education laws related to a teacher's authority to maintain a positive classroom environment,Failed
264,Senate Bill,Eliminate a defense to the vehicle noise statute,Passed
