billNumber,billType,title,status
21,House Joint Resolution,Resolution to secure and strengthen social security and the social trust fund,Failed
67,House Joint Resolution,Study resolution on impacts of federal funding changes on OPI and OCHE,Failed
151,House Bill,Revise educational laws pertaining to recruitment and retention and MSDB,Passed
184,House Bill,Revise laws that may diminish the dignity of individuals who are deaf or hard of hearing,Passed
361,House Bill,Provide funding to school districts for English language learners,Failed
