billNumber,billType,title,status
17,Senate Joint Resolution,Resolution requesting an interim study on hunter satisfaction,Failed
278,Senate Bill,Revise education laws to support advanced opportunities,Passed
359,Senate Bill,Revise traffic laws related to distracted driving,Failed
461,Senate Bill,Generally revise administration of drug and substance laws,Failed
462,Senate Bill,Generally revise department of motor vehicles laws,Failed
533,Senate Bill,Generally revise accessibility laws related to trails/roads,Failed
