billNumber,billType,title,status
674,House Bill,Revise code commissioner duties to include repealing unconstitutional policies from Montana code,Failed
798,House Bill,Constitutional amendment repealing the ban on same sex marriage,Failed
828,House Bill,Generally revise consumer rights laws to repair powered wheelchairs,Failed
