billNumber,billType,title,status
71,House Bill,Revise special license requirements allowing second lion license and removing Tendoy sheep reporting,Failed
175,House Bill,"Require fish, wildlife, and parks to publish a report detailing data on hunting districts",Passed
176,House Bill,Require unlimited wolf hunting quota when population is at or above 450 wolves,Failed
205,House Bill,Revise death penalty laws,Failed
800,House Bill,Revise landlord and tenant laws,Failed
801,House Bill,Provide for the Montana Firearms Liability Clarification Act,Passed
802,House Bill,Revise zoning laws related to the rental of a primary residence,Failed
