billNumber,billType,title,status
25,House Bill,Require exempt entities to report beneficial use of property,Failed
27,House Bill,Remove automatic agricultural classification for certain parcels,Failed
29,House Bill,Revise administration of property tax exemptions,Passed
87,House Bill,"Revising taxation of lands owned by department of fish, wildlife, and parks",Passed
308,House Bill,Maintain the county distribution level of metal mines license tax,Passed
894,House Bill,Revising property appraisal to use an average value,Failed
902,House Bill,Generally revise Montana SNAP program laws,Failed
