billNumber,billType,title,status
58,House Joint Resolution,Request interim study on increasing impact of school counselors,Failed
73,House Bill,Repeal law authorizing killing of eagles or predatory hawks and owls,Failed
101,House Bill,Reclassify wolves as furbearers and align existing wolf tagging and furbearer hunting restrictions,Failed
359,House Bill,Generally revise TRS laws on when retired teachers can return to work after retirement,Passed
811,House Bill,Increase the generating capacity for customer-generated electricity,Failed
837,House Bill,Establish retired teacher induction and mentoring program,Failed
