billNumber,billType,title,status
177,House Bill,"Revise tobacco, alternative nicotine, and vapor product laws",Failed
402,House Bill,"Move the cowboy hall of fame and western heritage center to Wolf Point, Montana",Failed
952,House Bill,Authorizing governor to enter into agreements with tribal governments relating to marijuana,Failed
