billNumber,billType,title,status
6,Senate Joint Resolution,Joint resolution for legislature's consent and approval long-range legislative branch capitol development plan,Passed
33,Senate Joint Resolution,Interim study of the prescription drug supply chain,Passed
75,Senate Bill,Revise amendment process for legislation that is subject to a sunset,Passed
76,Senate Bill,Revise laws related to preliminary determinations for water right permits or changes in appropriations,Passed
177,Senate Bill,Allow community choice school commission to seek public funding,Passed
178,Senate Bill,Provide for temporary lease of water rights,Passed
253,Senate Bill,Revise administrative and certification processes for student scholarship organizations,Passed
347,Senate Bill,Revise medical resident licensure laws,Passed
368,Senate Bill,Allow correction of minor maintenance items at mines,Passed
442,Senate Bill,Revise real property manager licensing laws,Passed
457,Senate Bill,Revise laws regarding legislative subpoenas,Passed
486,Senate Bill,Revise equal opportunity education savings account funding,Passed
