billNumber,billType,title,status
18,House Joint Resolution,Resolution supporting DC statehood,Failed
72,House Joint Resolution,Interim study of personal data sharing by DOT,Failed
74,House Joint Resolution,Study resolution analyzing water re-use in the state,Passed
187,House Bill,Revise election laws to remove continuous tabulation requirement,Failed
255,House Bill,Revise online data privacy laws for K-12 pupil records,Failed
436,House Bill,Require trappers to post notice signs near trails on public lands,Failed
662,House Bill,Revise the Montana driver privacy protection act,Failed
712,House Bill,Provide for restitution payments to children of certain homicide victims,Passed
773,House Bill,Revise laws related to metropolitan planning orgs and transportation planning,Failed
