billNumber,billType,title,status
29,Senate Bill,Allow electronic submission of bonds for state construction projects,Passed
46,Senate Bill,Increase registration fee for underground petroleum tanks,Passed
223,Senate Bill,Allow interest earned on workforce housing appropriations to be retained,Passed
315,Senate Bill,Allocate funding for petroleum tank cleanup,Passed
429,Senate Bill,Generally revise laws related to determination and restoration of fitness in criminal proceedings,Passed
430,Senate Bill,Generally revise laws related to civil commitment and emergency detention of mentally ill persons,Passed
435,Senate Bill,Generally revise laws related to mentally ill individuals,Passed
