billNumber,billType,title,status
229,House Bill,Generally revise Montana environmental policy act to Implement court decision,Failed
378,House Bill,Remove the restriction on inclusionary zoning,Failed
509,House Bill,Revise the quality educator loan forgiveness program to expand eligibility,Passed
660,House Bill,Require rules to limit GHG emissions,Failed
661,House Bill,Generally revise laws related to the unlawful harassment of wild animals,Failed
