billNumber,billType,title,status
14,Senate Joint Resolution,Resolution to release federal wilderness study areas,Failed
116,Senate Bill,Revise the Montana heritage preservation and development commission membership,Passed
209,Senate Bill,Revise term length of conservation easements,Failed
362,Senate Bill,Revise firefighter qualifications,Passed
519,Senate Bill,Prohibit tax assessor entry to private property without permission,Failed
520,Senate Bill,Revise laws regarding mining leases on state lands,Passed
