billNumber,billType,title,status
28,House Joint Resolution,"Interim study to identify and improve access to federal grant opportunities for the state of Montana, tribal governments, and local government entities",Passed
260,House Bill,Revise teacher stipends for national board certification,Passed
265,House Bill,Provide Over-BASE levy authority consistent with inflation adopted by the legislature,Failed
266,House Bill,Establish education inflation reconciliation process,Passed
