Metric,Value
committee,(S) Natural Resources
billTotal,36
passedTotal,16
failedTotal,20
passPercentage,44.44
billList,"SR 102, SB 349, SR 111, SB 381, SJ 18, SR 43, SB 473, SB 357, SB 186, SB 520, SB 46, SB 304, SB 472, SB 221, SB 460, SB 76, SB 71, SB 55, SB 178, SB 61, SB 500, SB 263, SB 190, SB 365, SB 315, SB 436, SJ 42, SR 25, SB 201, SB 123, SB 391, SB 559, SB 358, SB 368, SB 106, SR 18"
passedBills,"SB 357, SB 520, SB 46, SB 472, SB 221, SB 76, SB 71, SB 55, SB 178, SB 61, SB 190, SB 365, SB 315, SB 201, SB 368, SB 106"
failedBills,"SR 102, SB 349, SR 111, SB 381, SJ 18, SR 43, SB 473, SB 186, SB 304, SB 460, SB 500, SB 263, SB 436, SJ 42, SR 25, SB 123, SB 391, SB 559, SB 358, SR 18"
