Metric,Value
committee,(H) State Administration
billTotal,127
passedTotal,66
failedTotal,61
passPercentage,51.97
billList,"HB 698, HB 111, HB 821, HB 279, HB 286, HB 309, HB 627, HB 705, HB 349, HB 293, HB 834, HB 799, HB 167, HJ 69, HB 85, HB 380, HB 656, HB 120, HB 651, HB 395, HB 539, HB 248, HB 673, HB 674, HB 917, HB 280, HB 479, HB 126, HB 91, HB 592, HB 166, HB 645, HB 851, HB 804, HB 856, HB 379, HB 193, HB 402, HB 527, HB 203, HB 780, HB 179, HB 181, HB 410, HB 63, HB 334, HB 598, HB 272, HB 679, HB 298, HB 47, HB 786, HB 187, HB 217, HB 566, HB 938, HB 62, HB 192, HJ 64, HB 375, HB 88, HB 678, HB 680, HB 692, HB 221, HB 879, HB 54, HB 557, HB 413, HB 818, HB 659, HB 207, HB 370, HB 72, HB 406, HB 190, HB 769, HR 7, HB 488, HB 224, HB 271, HJ 42, HB 376, HB 201, HB 455, HB 618, HB 562, HB 33, HB 66, HB 61, HB 728, HB 423, HB 719, HJ 11, HB 759, HB 496, HB 152, HB 100, HB 822, HB 358, HB 115, HB 741, HB 112, HB 39, HB 597, HB 722, HB 788, HB 725, HB 770, HB 189, HB 81, HB 383, HJ 38, HB 640, HB 482, HB 359, HB 113, HJ 48, HB 700, HB 688, HB 613, HB 815, HB 812, HB 724, HB 170, HB 125, HB 789"
passedBills,"HB 111, HB 279, HB 627, HB 349, HB 293, HB 834, HB 167, HB 85, HB 380, HB 656, HB 120, HB 651, HB 539, HB 248, HB 917, HB 280, HB 126, HB 91, HB 592, HB 166, HB 804, HB 193, HB 527, HB 203, HB 179, HB 181, HB 63, HB 679, HB 47, HB 786, HB 217, HB 566, HB 62, HB 192, HB 88, HB 680, HB 692, HB 54, HB 413, HB 818, HB 207, HB 72, HB 406, HB 190, HB 769, HB 271, HB 201, HB 455, HB 562, HB 66, HB 61, HB 423, HB 719, HB 759, HB 496, HB 100, HB 358, HB 115, HB 112, HB 39, HB 725, HB 770, HB 189, HB 81, HB 359, HB 125"
failedBills,"HB 698, HB 821, HB 286, HB 309, HB 705, HB 799, HJ 69, HB 395, HB 673, HB 674, HB 479, HB 645, HB 851, HB 856, HB 379, HB 402, HB 780, HB 410, HB 334, HB 598, HB 272, HB 298, HB 187, HB 938, HJ 64, HB 375, HB 678, HB 221, HB 879, HB 557, HB 659, HB 370, HR 7, HB 488, HB 224, HJ 42, HB 376, HB 618, HB 33, HB 728, HJ 11, HB 152, HB 822, HB 741, HB 597, HB 722, HB 788, HB 383, HJ 38, HB 640, HB 482, HB 113, HJ 48, HB 700, HB 688, HB 613, HB 815, HB 812, HB 724, HB 170, HB 789"
