Metric,Value
committee,"(S) Energy, Technology & Federal Relations"
billTotal,45
passedTotal,15
failedTotal,30
passPercentage,33.33
billList,"SB 160, SB 294, SR 95, SB 22, SR 98, SB 333, SJ 12, SB 445, SB 410, SB 505, SB 432, SB 23, SB 24, SJ 14, SB 561, SB 119, SB 301, SB 453, SB 406, SB 207, SB 212, SB 330, SJ 16, SR 14, SB 265, SB 67, SJ 26, SJ 21, SB 355, SB 51, SB 364, SB 452, SB 163, SB 458, SB 124, SR 97, SB 228, SR 59, SB 188, SR 96, SR 100, SB 81, SJ 9, SR 58, SB 283"
passedBills,"SB 22, SB 333, SB 23, SB 301, SB 212, SB 330, SB 265, SB 67, SB 355, SB 51, SB 364, SB 163, SB 458, SB 124, SB 228"
failedBills,"SB 160, SB 294, SR 95, SR 98, SJ 12, SB 445, SB 410, SB 505, SB 432, SB 24, SJ 14, SB 561, SB 119, SB 453, SB 406, SB 207, SJ 16, SR 14, SJ 26, SJ 21, SB 452, SR 97, SR 59, SB 188, SR 96, SR 100, SB 81, SJ 9, SR 58, SB 283"
