Metric,Value
committee,(S) Taxation
billTotal,56
passedTotal,21
failedTotal,35
passPercentage,37.5
billList,"SR 94, SB 539, SB 172, SB 409, SB 538, SB 339, SB 173, SB 117, SB 549, SB 157, SB 434, SB 267, SB 544, SB 260, SB 302, SB 53, SB 54, SB 321, SB 203, SB 326, SB 351, SB 274, SB 550, SB 1, SB 343, SB 542, SB 327, SB 192, SB 534, SB 3, SB 4, SB 306, SB 540, SB 512, SB 322, SB 536, SB 247, SJ 44, SB 531, SB 546, SB 237, SB 98, SB 2, SB 225, SB 424, SB 169, SB 253, SB 371, SB 323, SB 189, SJ 8, SB 519, SB 397, SJ 38, SB 93, SB 558"
passedBills,"SB 172, SB 409, SB 339, SB 117, SB 544, SB 260, SB 302, SB 53, SB 54, SB 326, SB 550, SB 1, SB 542, SB 534, SB 3, SB 306, SB 536, SB 247, SB 237, SB 253, SB 93"
failedBills,"SR 94, SB 539, SB 538, SB 173, SB 549, SB 157, SB 434, SB 267, SB 321, SB 203, SB 351, SB 274, SB 343, SB 327, SB 192, SB 4, SB 540, SB 512, SB 322, SJ 44, SB 531, SB 546, SB 98, SB 2, SB 225, SB 424, SB 169, SB 371, SB 323, SB 189, SJ 8, SB 519, SB 397, SJ 38, SB 558"
