Metric,Value
committee,(S) State Administration
billTotal,70
passedTotal,27
failedTotal,43
passPercentage,38.57
billList,"SB 58, SB 492, SB 29, SB 281, SB 379, SR 4, SB 287, SB 142, SB 145, SB 439, SB 494, SB 105, SB 298, SB 499, SB 25, SB 77, SB 220, SJ 24, SB 7, SB 399, SB 366, SJ 40, SB 527, SR 72, SB 226, SB 557, SB 303, SB 498, SR 73, SR 74, SB 12, SB 47, SB 360, SR 61, SB 33, SB 276, SB 470, SB 224, SR 47, SB 314, SJ 35, SB 200, SB 401, SB 185, SB 57, SB 564, SR 63, SB 222, SB 277, SB 56, SB 184, SB 129, SR 62, SJ 45, SB 440, SB 562, SB 246, SB 254, SB 131, SB 8, SB 115, SB 496, SB 122, SB 419, SB 130, SB 529, SB 490, SB 141, SB 94, SB 9"
passedBills,"SB 58, SB 492, SB 29, SB 105, SB 25, SB 77, SB 7, SB 366, SB 226, SB 303, SB 498, SB 12, SB 360, SB 33, SB 276, SB 224, SJ 35, SB 200, SB 57, SB 564, SB 56, SB 184, SB 440, SB 246, SB 115, SB 490, SB 9"
failedBills,"SB 281, SB 379, SR 4, SB 287, SB 142, SB 145, SB 439, SB 494, SB 298, SB 499, SB 220, SJ 24, SB 399, SJ 40, SB 527, SR 72, SB 557, SR 73, SR 74, SB 47, SR 61, SB 470, SR 47, SB 314, SB 401, SB 185, SR 63, SB 222, SB 277, SB 129, SR 62, SJ 45, SB 562, SB 254, SB 131, SB 8, SB 496, SB 122, SB 419, SB 130, SB 529, SB 141, SB 94"
