Metric,Value
committee,(S) Highways and Transportation
billTotal,25
passedTotal,12
failedTotal,13
passPercentage,48.0
billList,"SJ 19, SB 392, SB 380, SB 387, SB 309, SB 508, SB 111, SB 28, SB 433, SB 545, SB 245, SB 26, SB 462, SB 264, SB 341, SJ 3, SB 547, SR 40, SB 454, SB 423, SB 471, SB 455, SB 324, SB 290, SB 359"
passedBills,"SB 392, SB 380, SB 309, SB 508, SB 111, SB 433, SB 545, SB 245, SB 26, SB 264, SB 341, SB 471"
failedBills,"SJ 19, SB 387, SB 28, SB 462, SJ 3, SB 547, SR 40, SB 454, SB 423, SB 455, SB 324, SB 290, SB 359"
