Metric,Value
committee,(S) Legislative Administration
billTotal,12
passedTotal,5
failedTotal,7
passPercentage,41.67
billList,"SJ 28, SB 408, SB 68, SJ 22, SB 64, SJ 6, SB 311, SB 344, SB 75, SB 506, SJ 10, SB 87"
passedBills,"SB 64, SB 311, SB 344, SB 75, SB 87"
failedBills,"SJ 28, SB 408, SB 68, SJ 22, SJ 6, SB 506, SJ 10"
