Metric,Value
committee,(S) Education and Cultural Resources
billTotal,41
passedTotal,15
failedTotal,26
passPercentage,36.59
billList,"SB 478, SB 116, SB 59, SB 486, SJ 7, SB 474, SB 350, SB 37, SR 32, SB 181, SR 9, SB 36, SB 299, SR 26, SB 521, SB 526, SB 451, SB 138, SB 210, SR 108, SB 34, SB 507, SJ 20, SB 271, SB 159, SR 71, SB 182, SR 31, SB 215, SB 35, SB 118, SR 53, SR 70, SB 525, SB 407, SB 369, SB 396, SB 177, SR 69, SB 258, SB 482"
passedBills,"SB 116, SB 59, SB 486, SB 350, SB 37, SB 181, SB 36, SB 34, SB 271, SB 182, SB 35, SB 369, SB 177, SB 258, SB 482"
failedBills,"SB 478, SJ 7, SB 474, SR 32, SR 9, SB 299, SR 26, SB 521, SB 526, SB 451, SB 138, SB 210, SR 108, SB 507, SJ 20, SB 159, SR 71, SR 31, SB 215, SB 118, SR 53, SR 70, SB 525, SB 407, SB 396, SR 69"
