Bill,Status
SB 357,Passed
SB 520,Passed
SB 46,Passed
SB 472,Passed
SB 221,Passed
SB 76,Passed
SB 71,Passed
SB 55,Passed
SB 178,Passed
SB 61,Passed
SB 190,Passed
SB 365,Passed
SB 315,Passed
SB 201,Passed
SB 368,Passed
SB 106,Passed
SR 102,Failed
SB 349,Failed
SR 111,Failed
SB 381,Failed
SJ 18,Failed
SR 43,Failed
SB 473,Failed
SB 186,Failed
SB 304,Failed
SB 460,Failed
SB 500,Failed
SB 263,Failed
SB 436,Failed
SJ 42,Failed
SR 25,Failed
SB 123,Failed
SB 391,Failed
SB 559,Failed
SB 358,Failed
SR 18,Failed
