Bill,Status
HB 745,Passed
HB 151,Passed
HB 156,Passed
HB 866,Passed
HB 28,Passed
HB 338,Passed
HB 860,Passed
HB 509,Passed
HB 602,Passed
HB 251,Passed
HB 24,Passed
HB 778,Passed
HB 567,Passed
HB 357,Passed
HB 260,Passed
HB 15,Passed
HB 317,Passed
HB 599,Passed
HB 573,Passed
HB 250,Passed
HB 266,Passed
HB 343,Passed
HB 67,Passed
HB 252,Passed
HB 168,Passed
HB 515,Passed
HB 462,Passed
HB 869,Passed
HB 553,Passed
HB 118,Passed
HB 158,Passed
HB 631,Passed
HB 846,Passed
HB 600,Passed
HB 823,Passed
HB 864,Passed
HB 153,Passed
HB 591,Passed
HB 606,Passed
HB 508,Failed
HJ 58,Failed
HB 734,Failed
HJ 59,Failed
HB 820,Failed
HB 339,Failed
HB 405,Failed
HB 23,Failed
HB 445,Failed
HB 361,Failed
HB 551,Failed
HJ 53,Failed
HB 499,Failed
HJ 63,Failed
HJ 36,Failed
HB 138,Failed
HJ 31,Failed
HB 320,Failed
HB 255,Failed
HB 512,Failed
HB 628,Failed
HB 51,Failed
HJ 67,Failed
HB 669,Failed
HB 265,Failed
HB 340,Failed
HB 262,Failed
HJ 51,Failed
HB 837,Failed
HB 282,Failed
HB 663,Failed
HB 814,Failed
HB 385,Failed
HB 922,Failed
HB 771,Failed
HB 654,Failed
