Bill,Status
HB 19,Passed
HB 920,Passed
HB 845,Passed
HB 90,Passed
HB 18,Passed
HB 29,Passed
HB 89,Passed
HB 908,Passed
HB 108,Passed
HB 411,Passed
HB 22,Passed
HB 337,Passed
HB 20,Passed
HB 16,Passed
HB 231,Passed
HB 129,Passed
HB 785,Passed
HB 424,Passed
HB 17,Passed
HB 671,Passed
HB 483,Passed
HB 140,Passed
HB 329,Passed
HB 87,Passed
HB 903,Failed
HB 826,Failed
HB 904,Failed
HB 916,Failed
HB 132,Failed
HB 842,Failed
HB 942,Failed
HB 910,Failed
HB 905,Failed
HB 827,Failed
HB 844,Failed
HB 209,Failed
HB 926,Failed
HB 326,Failed
HB 243,Failed
HB 148,Failed
HB 878,Failed
HB 220,Failed
HB 892,Failed
HB 461,Failed
HB 895,Failed
HB 451,Failed
HB 327,Failed
HB 25,Failed
HB 894,Failed
HB 839,Failed
HB 420,Failed
HB 27,Failed
HB 200,Failed
HB 453,Failed
HB 858,Failed
HB 306,Failed
HB 507,Failed
HB 859,Failed
HB 21,Failed
HB 525,Failed
HB 213,Failed
HB 537,Failed
HB 440,Failed
HB 412,Failed
HB 489,Failed
HB 868,Failed
HB 865,Failed
HB 915,Failed
HB 155,Failed
HB 900,Failed
HB 841,Failed
HJ 2,Failed
HB 652,Failed
HB 528,Failed
HB 854,Failed
HB 163,Failed
HB 615,Failed
HB 906,Failed
HB 836,Failed
HB 914,Failed
HB 831,Failed
HB 946,Failed
HB 154,Failed
