Bill,Status
HB 281,Passed
HB 757,Passed
HB 833,Passed
HB 6,Passed
HB 1,Passed
HB 932,Passed
HB 756,Passed
HB 308,Passed
HB 7,Passed
HB 880,Passed
HB 474,Passed
HB 12,Passed
HB 13,Passed
HB 234,Passed
HB 505,Passed
HB 9,Passed
HB 11,Passed
HB 8,Passed
HB 10,Passed
HB 918,Passed
HB 228,Passed
HB 936,Passed
HB 954,Passed
HB 876,Passed
HB 863,Passed
HB 3,Passed
HB 874,Failed
HB 951,Failed
HB 944,Failed
HB 861,Failed
HB 919,Failed
HB 883,Failed
HB 862,Failed
HB 870,Failed
HB 5,Failed
HB 2,Failed
HB 924,Failed
HB 941,Failed
HB 4,Failed
