Bill,Status
SB 392,Passed
SB 380,Passed
SB 309,Passed
SB 508,Passed
SB 111,Passed
SB 433,Passed
SB 545,Passed
SB 245,Passed
SB 26,Passed
SB 264,Passed
SB 341,Passed
SB 471,Passed
SJ 19,Failed
SB 387,Failed
SB 28,Failed
SB 462,Failed
SJ 3,Failed
SB 547,Failed
SR 40,Failed
SB 454,Failed
SB 423,Failed
SB 455,Failed
SB 324,Failed
SB 290,Failed
SB 359,Failed
