Bill,Status
SB 172,Passed
SB 409,Passed
SB 339,Passed
SB 117,Passed
SB 544,Passed
SB 260,Passed
SB 302,Passed
SB 53,Passed
SB 54,Passed
SB 326,Passed
SB 550,Passed
SB 1,Passed
SB 542,Passed
SB 534,Passed
SB 3,Passed
SB 306,Passed
SB 536,Passed
SB 247,Passed
SB 237,Passed
SB 253,Passed
SB 93,Passed
SR 94,Failed
SB 539,Failed
SB 538,Failed
SB 173,Failed
SB 549,Failed
SB 157,Failed
SB 434,Failed
SB 267,Failed
SB 321,Failed
SB 203,Failed
SB 351,Failed
SB 274,Failed
SB 343,Failed
SB 327,Failed
SB 192,Failed
SB 4,Failed
SB 540,Failed
SB 512,Failed
SB 322,Failed
SJ 44,Failed
SB 531,Failed
SB 546,Failed
SB 98,Failed
SB 2,Failed
SB 225,Failed
SB 424,Failed
SB 169,Failed
SB 371,Failed
SB 323,Failed
SB 189,Failed
SJ 8,Failed
SB 519,Failed
SB 397,Failed
SJ 38,Failed
SB 558,Failed
