Bill,Status
SB 132,Passed
SB 83,Passed
SB 487,Passed
SB 286,Passed
SB 69,Passed
SB 91,Passed
SB 134,Passed
SB 19,Passed
SB 280,Passed
SB 97,Passed
SB 493,Passed
SB 348,Passed
SB 342,Passed
SB 70,Passed
SB 275,Passed
SB 65,Passed
SB 30,Passed
SB 457,Passed
SB 41,Passed
SB 193,Passed
SB 149,Passed
SB 261,Passed
SB 40,Passed
SB 444,Passed
SB 217,Passed
SB 398,Passed
SB 552,Passed
SB 488,Passed
SB 430,Passed
SB 236,Passed
SB 45,Passed
SB 413,Passed
SB 288,Passed
SB 412,Passed
SB 38,Passed
SB 282,Passed
SB 429,Passed
SB 107,Passed
SB 297,Passed
SB 218,Passed
SB 137,Passed
SB 162,Passed
SB 48,Passed
SB 101,Passed
SB 154,Passed
SB 39,Passed
SR 93,Failed
SB 395,Failed
SB 120,Failed
SB 127,Failed
SR 110,Failed
SB 84,Failed
SB 156,Failed
SB 151,Failed
SB 209,Failed
SR 92,Failed
SB 126,Failed
SB 479,Failed
SB 292,Failed
SB 543,Failed
SB 232,Failed
SR 16,Failed
SB 272,Failed
SB 421,Failed
SR 109,Failed
SJ 15,Failed
SB 450,Failed
SB 374,Failed
SB 14,Failed
SB 139,Failed
SB 13,Failed
SB 273,Failed
SB 502,Failed
SB 31,Failed
SR 42,Failed
SB 89,Failed
SR 21,Failed
SB 15,Failed
SB 411,Failed
SB 332,Failed
SB 52,Failed
SB 66,Failed
SB 21,Failed
SB 313,Failed
SB 437,Failed
SJ 4,Failed
SR 15,Failed
SB 42,Failed
SB 197,Failed
SB 388,Failed
SR 76,Failed
SR 23,Failed
SB 370,Failed
SJ 43,Failed
SB 158,Failed
SB 20,Failed
SJ 2,Failed
SB 340,Failed
SB 312,Failed
SB 476,Failed
SB 352,Failed
SB 501,Failed
SB 537,Failed
SB 196,Failed
SB 44,Failed
SB 16,Failed
SB 43,Failed
SB 389,Failed
SB 49,Failed
SB 164,Failed
SB 136,Failed
SB 329,Failed
SB 383,Failed
SB 176,Failed
SR 6,Failed
SB 92,Failed
SJ 39,Failed
SB 318,Failed
SB 491,Failed
SR 7,Failed
SB 385,Failed
SR 29,Failed
SB 114,Failed
SB 146,Failed
SB 284,Failed
