Bill,Status
HB 632,Passed
HB 667,Passed
HB 143,Passed
HB 620,Passed
HB 899,Passed
HB 438,Passed
HB 239,Passed
HB 611,Passed
HB 135,Passed
HB 198,Passed
HB 850,Passed
HB 721,Passed
HB 726,Passed
HB 449,Passed
HB 157,Passed
HB 150,Passed
HB 549,Passed
HB 238,Passed
HB 898,Passed
HB 867,Passed
HB 744,Passed
HB 872,Passed
HB 720,Passed
HB 249,Passed
HB 735,Passed
HB 792,Passed
HB 321,Passed
HB 442,Passed
HB 211,Passed
HB 227,Passed
HB 426,Passed
HB 686,Passed
HB 235,Passed
HB 544,Passed
HB 342,Passed
HB 516,Passed
HB 543,Passed
HB 434,Passed
HB 210,Passed
HB 367,Passed
HB 533,Passed
HB 335,Passed
HB 794,Passed
HB 195,Passed
HB 109,Passed
HB 435,Passed
HB 261,Passed
HB 427,Passed
HB 502,Passed
HB 226,Passed
HB 60,Passed
HB 414,Passed
HB 563,Passed
HB 729,Passed
HB 182,Passed
HB 128,Passed
HB 454,Passed
HB 197,Passed
HB 276,Passed
HB 718,Passed
HB 668,Passed
HB 254,Passed
HB 324,Passed
HB 206,Passed
HB 768,Passed
HB 196,Passed
HB 246,Passed
HB 241,Passed
HB 530,Passed
HB 447,Passed
HB 336,Passed
HB 183,Passed
HB 225,Passed
HB 882,Passed
HB 463,Passed
HB 464,Passed
HB 491,Passed
HB 636,Passed
HB 931,Passed
HB 590,Passed
HB 391,Passed
HB 123,Passed
HB 86,Passed
HB 384,Passed
HB 458,Passed
HB 806,Passed
HB 853,Passed
HB 136,Passed
HB 164,Passed
HB 428,Passed
HB 740,Passed
HB 141,Passed
HB 114,Passed
HB 497,Passed
HB 296,Passed
HB 584,Passed
HB 78,Passed
HB 137,Passed
HB 218,Passed
HB 92,Passed
HB 873,Failed
HB 294,Failed
HB 805,Failed
HB 774,Failed
HJ 29,Failed
HB 832,Failed
HB 945,Failed
HB 634,Failed
HB 950,Failed
HB 875,Failed
HB 727,Failed
HJ 28,Failed
HJ 68,Failed
HB 199,Failed
HB 610,Failed
HJ 37,Failed
HB 204,Failed
HB 373,Failed
HB 374,Failed
HB 608,Failed
HB 787,Failed
HB 639,Failed
HB 556,Failed
HB 310,Failed
HB 781,Failed
HB 526,Failed
HJ 55,Failed
HB 893,Failed
HB 149,Failed
HB 362,Failed
HJ 21,Failed
HB 524,Failed
HJ 33,Failed
HJ 61,Failed
HB 465,Failed
HB 437,Failed
HB 758,Failed
HB 477,Failed
HB 500,Failed
HB 470,Failed
HB 552,Failed
HB 223,Failed
HB 407,Failed
HB 929,Failed
HB 797,Failed
HJ 60,Failed
HB 331,Failed
HJ 27,Failed
HB 828,Failed
HB 315,Failed
HB 947,Failed
HB 297,Failed
HB 290,Failed
HB 429,Failed
HB 484,Failed
HB 94,Failed
HB 813,Failed
HB 607,Failed
HJ 5,Failed
HB 585,Failed
HB 131,Failed
HB 558,Failed
HB 485,Failed
HB 747,Failed
HB 852,Failed
HB 459,Failed
HB 382,Failed
HB 583,Failed
HB 529,Failed
HB 937,Failed
HB 390,Failed
HB 177,Failed
