Bill,Status
HB 710,Passed
HB 480,Passed
HB 104,Passed
HB 495,Passed
HB 409,Passed
HB 82,Passed
HB 603,Passed
HB 102,Passed
HB 626,Passed
HB 292,Passed
HB 493,Passed
HB 743,Passed
HB 117,Passed
HB 711,Passed
HB 278,Passed
HB 121,Passed
HB 605,Passed
HB 173,Passed
HB 775,Passed
HB 595,Passed
HB 642,Passed
HB 83,Passed
HB 578,Passed
HB 194,Passed
HB 575,Passed
HB 809,Passed
HB 572,Passed
HB 186,Passed
HB 532,Passed
HB 535,Passed
HB 693,Passed
HB 694,Passed
HB 503,Passed
HB 267,Passed
HB 178,Passed
HB 416,Passed
HB 332,Passed
HB 444,Passed
HB 793,Passed
HB 521,Passed
HB 46,Passed
HB 344,Passed
HB 311,Passed
HB 233,Passed
HB 467,Passed
HB 41,Passed
HB 545,Passed
HB 638,Passed
HB 475,Passed
HB 446,Passed
HB 215,Passed
HB 531,Passed
HB 32,Passed
HB 365,Passed
HB 589,Passed
HB 325,Passed
HB 388,Passed
HB 75,Passed
HB 791,Passed
HB 44,Passed
HB 682,Passed
HB 690,Passed
HB 400,Passed
HB 191,Passed
HB 415,Passed
HB 214,Passed
HB 819,Passed
HB 300,Passed
HB 471,Passed
HB 514,Passed
HB 431,Passed
HB 513,Passed
HB 268,Passed
HB 676,Passed
HB 147,Passed
HB 396,Passed
HB 655,Passed
HB 582,Passed
HB 801,Passed
HB 612,Passed
HB 284,Passed
HB 665,Passed
HB 712,Passed
HB 49,Passed
HB 490,Passed
HB 913,Passed
HB 752,Passed
HB 707,Passed
HB 625,Passed
HB 723,Passed
HB 116,Failed
HB 635,Failed
HB 478,Failed
HB 675,Failed
HB 702,Failed
HB 548,Failed
HB 733,Failed
HB 766,Failed
HB 643,Failed
HB 761,Failed
HB 581,Failed
HB 927,Failed
HJ 6,Failed
HB 810,Failed
HB 593,Failed
HB 751,Failed
HR 9,Failed
HB 439,Failed
HB 295,Failed
HB 287,Failed
HB 174,Failed
HB 772,Failed
HB 816,Failed
HB 617,Failed
HB 798,Failed
HB 408,Failed
HB 803,Failed
HB 921,Failed
HJ 65,Failed
HB 795,Failed
HJ 22,Failed
HB 36,Failed
HB 366,Failed
HJ 14,Failed
HJ 41,Failed
HB 305,Failed
HB 52,Failed
HB 302,Failed
HB 709,Failed
HB 838,Failed
HB 433,Failed
HR 4,Failed
HB 232,Failed
HB 948,Failed
HB 779,Failed
HB 609,Failed
HJ 23,Failed
HB 30,Failed
HB 65,Failed
HB 205,Failed
HB 460,Failed
HB 542,Failed
HR 5,Failed
HB 316,Failed
HB 748,Failed
HB 303,Failed
HB 472,Failed
HB 886,Failed
HB 304,Failed
HB 35,Failed
HB 247,Failed
HB 536,Failed
HJ 9,Failed
HB 322,Failed
HB 619,Failed
HB 540,Failed
HB 896,Failed
HB 422,Failed
HB 555,Failed
HB 301,Failed
HB 425,Failed
HB 289,Failed
HJ 10,Failed
HJ 45,Failed
HB 697,Failed
HB 452,Failed
HB 371,Failed
HB 577,Failed
HB 790,Failed
HJ 32,Failed
HB 169,Failed
HJ 72,Failed
HB 506,Failed
HB 277,Failed
HB 288,Failed
HB 501,Failed
HB 691,Failed
HB 541,Failed
HB 890,Failed
HB 237,Failed
HJ 56,Failed
HB 469,Failed
HB 701,Failed
HB 754,Failed
HB 706,Failed
HB 753,Failed
HB 93,Failed
HB 777,Failed
HB 730,Failed
HB 737,Failed
HB 662,Failed
HB 637,Failed
HB 715,Failed
HB 319,Failed
HB 755,Failed
HB 677,Failed
HB 622,Failed
HB 925,Failed
HB 800,Failed
HB 646,Failed
HB 569,Failed
HB 840,Failed
HB 653,Failed
HB 776,Failed
