Bill,Status
SB 175,Passed
SB 239,Passed
SB 103,Passed
SB 143,Passed
SB 133,Passed
SB 121,Passed
SB 174,Passed
SB 532,Passed
SB 243,Passed
SB 404,Passed
SB 289,Passed
SB 10,Passed
SB 168,Passed
SB 252,Passed
SB 362,Passed
SB 337,Passed
SB 262,Passed
SB 5,Passed
SB 214,Passed
SB 213,Passed
SB 11,Passed
SB 328,Passed
SB 428,Passed
SR 48,Failed
SB 96,Failed
SB 90,Failed
SB 102,Failed
SB 108,Failed
SJ 47,Failed
SB 204,Failed
SB 420,Failed
SB 510,Failed
SB 266,Failed
SB 205,Failed
SB 195,Failed
SB 99,Failed
SB 477,Failed
SB 128,Failed
SB 431,Failed
SB 32,Failed
SB 336,Failed
SB 363,Failed
SB 400,Failed
SB 418,Failed
SR 91,Failed
SB 485,Failed
