Bill,Status
HB 175,Passed
HB 817,Passed
HB 105,Passed
HB 145,Passed
HB 96,Passed
HB 767,Passed
HB 648,Passed
HB 450,Passed
HB 244,Passed
HB 242,Passed
HB 202,Passed
HB 372,Passed
HB 356,Passed
HB 98,Passed
HB 330,Passed
HB 264,Passed
HB 354,Passed
HB 554,Passed
HB 307,Passed
HB 897,Passed
HB 107,Passed
HB 568,Passed
HB 219,Passed
HB 259,Passed
HB 762,Passed
HB 146,Passed
HB 468,Passed
HB 106,Passed
HB 328,Passed
HB 763,Passed
HB 95,Passed
HB 857,Failed
HB 661,Failed
HB 133,Failed
HB 134,Failed
HB 139,Failed
HB 71,Failed
HB 216,Failed
HB 417,Failed
HB 560,Failed
HB 240,Failed
HB 564,Failed
HJ 73,Failed
HB 353,Failed
HB 829,Failed
HB 222,Failed
HB 57,Failed
HB 436,Failed
HB 347,Failed
HR 6,Failed
HB 519,Failed
HB 559,Failed
HB 907,Failed
HB 176,Failed
HB 283,Failed
HB 101,Failed
HB 258,Failed
HB 930,Failed
HB 847,Failed
