Bill,Status
HB 392,Passed
HB 650,Passed
HB 538,Passed
HB 760,Passed
HB 939,Passed
HB 350,Passed
HB 55,Passed
HB 257,Passed
HB 53,Passed
HB 696,Passed
HB 45,Passed
HB 623,Passed
HB 122,Passed
HJ 18,Failed
HB 103,Failed
HB 911,Failed
HR 8,Failed
HJ 1,Failed
HJ 7,Failed
HB 811,Failed
HJ 25,Failed
HJ 13,Failed
HJ 46,Failed
HJ 54,Failed
HR 3,Failed
HJ 24,Failed
HB 404,Failed
HB 517,Failed
HB 695,Failed
HJ 15,Failed
HJ 12,Failed
HB 909,Failed
HB 263,Failed
HB 314,Failed
HJ 57,Failed
HJ 17,Failed
HB 389,Failed
HB 363,Failed
HJ 20,Failed
HJ 16,Failed
HB 877,Failed
HB 952,Failed
HB 518,Failed
HB 670,Failed
HB 596,Failed
HJ 4,Failed
