Bill,Status
SB 58,Passed
SB 492,Passed
SB 29,Passed
SB 105,Passed
SB 25,Passed
SB 77,Passed
SB 7,Passed
SB 366,Passed
SB 226,Passed
SB 303,Passed
SB 498,Passed
SB 12,Passed
SB 360,Passed
SB 33,Passed
SB 276,Passed
SB 224,Passed
SB 200,Passed
SB 57,Passed
SB 564,Passed
SB 56,Passed
SB 184,Passed
SB 440,Passed
SB 246,Passed
SB 115,Passed
SB 490,Passed
SB 9,Passed
SB 281,Failed
SB 379,Failed
SR 4,Failed
SB 287,Failed
SB 142,Failed
SB 145,Failed
SB 439,Failed
SB 494,Failed
SB 298,Failed
SB 499,Failed
SB 220,Failed
SJ 24,Failed
SB 399,Failed
SJ 40,Failed
SB 527,Failed
SR 72,Failed
SB 557,Failed
SR 73,Failed
SR 74,Failed
SB 47,Failed
SR 61,Failed
SB 470,Failed
SR 47,Failed
SB 314,Failed
SJ 35,Failed
SB 401,Failed
SB 185,Failed
SR 63,Failed
SB 222,Failed
SB 277,Failed
SB 129,Failed
SR 62,Failed
SJ 45,Failed
SB 562,Failed
SB 254,Failed
SB 131,Failed
SB 8,Failed
SB 496,Failed
SB 122,Failed
SB 419,Failed
SB 130,Failed
SB 529,Failed
SB 141,Failed
SB 94,Failed
