sponsor,party,chamber,district,billsSponsored,billsPassed,billsFailed,billsPassPercentage,legislationSponsored,legislationPassed,legislationFailed,legislationPassPercentage
Denise Baum,Democrat,HOUSE,HOUSE DISTRICT 45,10,6,4,60.0,12,6,6,50.0
Sue Vinton,Republican,SENATE,SENATE DISTRICT 20,10,10,0,100.0,12,12,0,100.0
Mark Noland,Republican,SENATE,SENATE DISTRICT 6,10,3,7,30.0,38,30,8,78.95
Terry Falk,Republican,HOUSE,HOUSE DISTRICT 10,9,1,8,11.11,10,1,9,10.0
Tom McGillvray,Republican,SENATE,SENATE DISTRICT 26,9,4,5,44.44,14,7,7,50.0
Steven Kelly,Republican,HOUSE,HOUSE DISTRICT 9,9,3,6,33.33,10,4,6,40.0
SJ Howell,Democrat,HOUSE,HOUSE DISTRICT 100,9,3,6,33.33,10,3,7,30.0
Jonathan Windy Boy,Democrat,SENATE,SENATE DISTRICT 16,9,6,3,66.67,11,7,4,63.64
Melissa Nikolakakos,Republican,HOUSE,HOUSE DISTRICT 20,9,8,1,88.89,10,8,2,80.0
Matt Regier,Republican,SENATE,SENATE DISTRICT 5,9,5,4,55.56,10,6,4,60.0
Cora Neumann,Democrat,SENATE,SENATE DISTRICT 30,8,4,4,50.0,8,4,4,50.0
Caleb Hinkle,Republican,HOUSE,HOUSE DISTRICT 68,8,5,3,62.5,10,6,4,60.0
Mark Thane,Democrat,HOUSE,HOUSE DISTRICT 89,8,3,5,37.5,8,3,5,37.5
Paul Tuss,Democrat,HOUSE,HOUSE DISTRICT 27,8,5,3,62.5,9,6,3,66.67
Marta Bertoglio,Republican,HOUSE,HOUSE DISTRICT 75,8,7,1,87.5,8,7,1,87.5
Andrea Olsen,Democrat,SENATE,SENATE DISTRICT 48,8,0,8,0.0,13,2,11,15.38
Jill Cohenour,Democrat,HOUSE,HOUSE DISTRICT 83,8,4,4,50.0,9,4,5,44.44
Mike Vinton,Republican,HOUSE,HOUSE DISTRICT 40,7,3,4,42.86,7,3,4,42.86
Anthony Nicastro,Republican,HOUSE,HOUSE DISTRICT 50,7,3,4,42.86,7,3,4,42.86
Vince Ricci,Republican,SENATE,SENATE DISTRICT 27,7,6,1,85.71,7,6,1,85.71
John Esp,Republican,SENATE,SENATE DISTRICT 29,7,7,0,100.0,7,7,0,100.0
Bob Phalen,Republican,SENATE,SENATE DISTRICT 17,7,0,7,0.0,8,0,8,0.0
Christopher Pope,Democrat,SENATE,SENATE DISTRICT 33,7,0,7,0.0,7,0,7,0.0
Sherry Essmann,Republican,HOUSE,HOUSE DISTRICT 49,7,3,4,42.86,7,3,4,42.86
Morgan Thiel,Republican,HOUSE,HOUSE DISTRICT 30,7,7,0,100.0,7,7,0,100.0
Shannon Maness,Republican,HOUSE,HOUSE DISTRICT 70,7,2,5,28.57,7,2,5,28.57
Mary Ann Dunwell,Democrat,SENATE,SENATE DISTRICT 42,7,0,7,0.0,9,0,9,0.0
Paul Fielder,Republican,HOUSE,HOUSE DISTRICT 14,7,4,3,57.14,7,4,3,57.14
Zack Wirth,Republican,HOUSE,HOUSE DISTRICT 17,6,2,4,33.33,9,3,6,33.33
Tom France,Democrat,HOUSE,HOUSE DISTRICT 99,6,1,5,16.67,7,1,6,14.29
James Reavis,Democrat,HOUSE,HOUSE DISTRICT 47,6,2,4,33.33,8,4,4,50.0
Shane Klakken,Republican,HOUSE,HOUSE DISTRICT 37,6,2,4,33.33,9,3,6,33.33
Ron Marshall,Republican,HOUSE,HOUSE DISTRICT 87,6,2,4,33.33,6,2,4,33.33
Scott Rosenzweig,Democrat,HOUSE,HOUSE DISTRICT 57,6,0,6,0.0,6,0,6,0.0
Eric Albus,Republican,HOUSE,HOUSE DISTRICT 28,6,5,1,83.33,6,5,1,83.33
Melody Cunningham,Democrat,HOUSE,HOUSE DISTRICT 97,6,3,3,50.0,7,3,4,42.86
Alanah Griffith,Democrat,HOUSE,HOUSE DISTRICT 60,6,3,3,50.0,8,4,4,50.0
Derek Harvey,Democrat,SENATE,SENATE DISTRICT 37,6,3,3,50.0,6,3,3,50.0
Bob Carter,Democrat,HOUSE,HOUSE DISTRICT 96,6,1,5,16.67,9,2,7,22.22
Greg Kmetz,Republican,HOUSE,HOUSE DISTRICT 36,6,3,3,50.0,7,4,3,57.14
Carl Glimm,Republican,SENATE,SENATE DISTRICT 3,6,1,5,16.67,6,1,5,16.67
Brian Close,Democrat,HOUSE,HOUSE DISTRICT 65,6,2,4,33.33,7,3,4,42.86
Kelly Kortum,Democrat,HOUSE,HOUSE DISTRICT 64,5,2,3,40.0,5,2,3,40.0
Kathy Love,Republican,HOUSE,HOUSE DISTRICT 85,5,3,2,60.0,5,3,2,60.0
Debo Powers,Democrat,HOUSE,HOUSE DISTRICT 3,5,1,4,20.0,5,1,4,20.0
Tony Tezak,Republican,SENATE,SENATE DISTRICT 35,5,3,2,60.0,6,3,3,50.0
Sara Novak,Democrat,SENATE,SENATE DISTRICT 36,5,1,4,20.0,6,1,5,16.67
Susan Webber,Democrat,SENATE,SENATE DISTRICT 8,5,1,4,20.0,5,1,4,20.0
Tracy Sharp,Republican,HOUSE,HOUSE DISTRICT 12,5,0,5,0.0,5,0,5,0.0
Jamie Isaly,Democrat,HOUSE,HOUSE DISTRICT 58,5,1,4,20.0,6,1,5,16.67
Ed Byrne,Republican,HOUSE,HOUSE DISTRICT 11,5,2,3,40.0,5,2,3,40.0
Joshua Seckinger,Democrat,HOUSE,HOUSE DISTRICT 62,5,3,2,60.0,7,4,3,57.14
Gayle  Lammers,Republican,SENATE,SENATE DISTRICT 21,5,5,0,100.0,5,5,0,100.0
Katie Sullivan,Democrat,HOUSE,HOUSE DISTRICT 93,4,1,3,25.0,5,2,3,40.0
Shelley Vance,Republican,SENATE,SENATE DISTRICT 34,4,3,1,75.0,4,3,1,75.0
Tyson Running Wolf,Democrat,HOUSE,HOUSE DISTRICT 16,4,2,2,50.0,5,3,2,60.0
Valerie Moore,Republican,HOUSE,HOUSE DISTRICT 29,4,3,1,75.0,4,3,1,75.0
Connie Keogh,Democrat,HOUSE,HOUSE DISTRICT 92,3,2,1,66.67,5,2,3,40.0
Jane Weber,Democrat,HOUSE,HOUSE DISTRICT 19,3,1,2,33.33,3,1,2,33.33
Russ Tempel,Republican,SENATE,SENATE DISTRICT 14,3,2,1,66.67,5,4,1,80.0
Becky Edwards,Democrat,HOUSE,HOUSE DISTRICT 61,3,1,2,33.33,6,3,3,50.0
Eric Matthews,Democrat,HOUSE,HOUSE DISTRICT 66,3,1,2,33.33,3,1,2,33.33
Jennifer Lynch,Democrat,HOUSE,HOUSE DISTRICT 73,3,2,1,66.67,3,2,1,66.67
Pat Flowers,Democrat,SENATE,SENATE DISTRICT 31,3,1,2,33.33,5,2,3,40.0
Frank Smith,Democrat,HOUSE,HOUSE DISTRICT 31,3,1,2,33.33,3,1,2,33.33
Janet Ellis,Democrat,SENATE,SENATE DISTRICT 41,3,2,1,66.67,3,2,1,66.67
Pete Elverum,Democrat,HOUSE,HOUSE DISTRICT 82,3,1,2,33.33,3,1,2,33.33
Zooey Zephyr,Democrat,HOUSE,HOUSE DISTRICT 95,3,0,3,0.0,3,0,3,0.0
Luke Muszkiewicz,Democrat,HOUSE,HOUSE DISTRICT 79,3,2,1,66.67,4,3,1,75.0
Scott DeMarois,Democrat,HOUSE,HOUSE DISTRICT 71,3,1,2,33.33,4,1,3,25.0
Curtis Cochran,Republican,HOUSE,HOUSE DISTRICT 90,3,1,2,33.33,3,1,2,33.33
Shelly Fyant,Democrat,HOUSE,HOUSE DISTRICT 91,2,1,1,50.0,2,1,1,50.0
"Bruce ""Butch"" Gillespie",Republican,SENATE,SENATE DISTRICT 9,2,2,0,100.0,11,11,0,100.0
Linda Reksten,Republican,HOUSE,HOUSE DISTRICT 13,2,1,1,50.0,3,1,2,33.33
Russ Miner,Republican,HOUSE,HOUSE DISTRICT 26,2,2,0,100.0,2,2,0,100.0
Marilyn Marler,Democrat,HOUSE,HOUSE DISTRICT 94,2,0,2,0.0,2,0,2,0.0
Lyn Bennett,Republican,HOUSE,HOUSE DISTRICT 4,2,2,0,100.0,2,2,0,100.0
Marc Lee,Democrat,HOUSE,HOUSE DISTRICT 74,1,1,0,100.0,2,1,1,50.0
Gregg Hunter,Republican,SENATE,SENATE DISTRICT 15,1,1,0,100.0,2,2,0,100.0
Peter Strand,Democrat,HOUSE,HOUSE DISTRICT 63,1,1,0,100.0,2,1,1,50.0
Jade Sooktis,Democrat,HOUSE,HOUSE DISTRICT 41,1,1,0,100.0,2,1,1,50.0
Thedis Crowe,Democrat,HOUSE,HOUSE DISTRICT 15,1,1,0,100.0,1,1,0,100.0
Emma Kerr-Carpenter,Democrat,SENATE,SENATE DISTRICT 23,1,0,1,0.0,1,0,1,0.0
Denise Joy,Democrat,HOUSE,HOUSE DISTRICT 46,1,0,1,0.0,2,1,1,50.0
Jason Ellsworth,Republican,SENATE,SENATE DISTRICT 43,1,0,1,0.0,1,0,1,0.0
Donavon Hawk,Democrat,HOUSE,HOUSE DISTRICT 72,1,1,0,100.0,2,2,0,100.0
Sidney Fitzpatrick,Democrat,HOUSE,House District 42,0,0,0,0,0,0,0,0
Mike Fox,Democrat,HOUSE,House District 32,0,0,0,0,0,0,0,0
Denise Hayman,Democrat,SENATE,Senate District 32,0,0,0,0,0,0,0,0
Jacinda Morigeau,Democrat,SENATE,Senate District 46,0,0,0,0,0,0,0,0
