title,sponsor,party,locale,billsSponsored,billsPassed,billsFailed,billsPassPercentage
Sen.,Tony Tezak,R,Ennis,5,3,2,60
Sen.,Sara Novak,D,Anaconda,5,1,4,20
Sen.,Susan Webber,D,Browning,5,1,4,20
Rep.,Tracy Sharp,R,Polson,5,0,5,0
Rep.,Jamie Isaly,D,Bozeman,5,1,4,20
Rep.,Ed Byrne,R,Bigfork,5,2,3,40
Rep.,Joshua Seckinger,D,Bozeman,5,3,2,60
Sen.,Gayle  Lammers,R,Unknown,5,5,0,100
Rep.,Katie Sullivan,D,Missoula,4,1,3,25
Sen.,Shelley Vance,R,Belgrade,4,3,1,75
Rep.,Tyson Running Wolf,D,Browning,4,2,2,50
Rep.,Valerie Moore,R,Plentywood,4,3,1,75
Rep.,Connie Keogh,D,Missoula,3,2,1,66.7
Rep.,Jane Weber,D,Great Falls,3,1,2,33.3
Sen.,Russ Tempel,R,Chester,3,2,1,66.7
Rep.,Becky Edwards,D,Bozeman,3,1,2,33.3
Rep.,Eric Matthews,D,Bozeman,3,1,2,33.3
Rep.,Jennifer Lynch,D,Butte,3,2,1,66.7
Sen.,Pat Flowers,D,Belgrade,3,1,2,33.3
Rep.,Frank Smith,D,Poplar,3,0,3,0
Sen.,Janet Ellis,D,Helena,3,2,1,66.7
Rep.,Pete Elverum,D,Helena,3,1,2,33.3
Rep.,Zooey Zephyr,D,Missoula,3,0,3,0
Rep.,Luke Muszkiewicz,D,Helena,3,2,1,66.7
Rep.,Scott DeMarois,D,Anaconda,3,1,2,33.3
Rep.,Curtis Cochran,R,St Regis,3,1,2,33.3
Rep.,Shelly Fyant,D,Arlee,2,1,1,50
Sen.,"Bruce ""Butch"" Gillespie",R,Unknown,2,2,0,100
Rep.,Linda Reksten,R,Polson,2,1,1,50
Rep.,Russ Miner,R,Stockett,2,2,0,100
Rep.,Marilyn Marler,D,Missoula,2,0,2,0
Rep.,Lyn Bennett,R,Columbia Falls,2,2,0,100
Rep.,Marc Lee,D,Butte,1,1,0,100
Sen.,Gregg Hunter,R,Glasgow,1,1,0,100
Rep.,Peter Strand,D,Bozeman,1,1,0,100
Rep.,Jade Sooktis,D,Lame Deer,1,1,0,100
Rep.,Thedis Crowe,D,Browning,1,1,0,100
Sen.,Emma Kerr-Carpenter,D,Billings,1,0,1,0
Rep.,Denise Joy,D,Billings,1,0,1,0
Sen.,Jason Ellsworth,R,Hamilton,1,0,1,0
Rep.,Donavon Hawk,D,Butte,1,1,0,100
Rep.,Sidney Fitzpatrick,D,Crow Agency,0,0,0,0
Rep.,Mike Fox,D,Hays,0,0,0,0
Sen.,Denise Hayman,D,Bozeman,0,0,0,0
Sen.,Jacinda Morigeau,D,Arlee,0,0,0,0
