category,billsSponsored,billsPassed,billsFailed,passPercentage
House Democrats,241,86,155,35.68
House Republicans,795,468,327,58.87
Senate Democrats,148,48,100,32.43
Senate Republicans,575,345,230,60.0
Democrats,389,134,255,34.45
Republicans,1370,813,557,59.34
